abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
각천장층	각/NNG + 천장/NNG + 층/NNG
가입세대	가입/NNG + 세대/NNG
교구본사	교구/NNG + 본사/NNG
개영화제	개/NNB + 영화제/NNG
개월가량	개월/NNB + 가량/NNG
개월과정	개월/NNB + 과정/NNG
개월동안	개월/NNB + 동안/NNG
구조대원	구조대원/NNG
개월여만	개월/NNB + 여/XSN + 만/NNB
고등법원	고등/NNG + 법원/NNG
개월이상	개월/NNB + 이상/NNG
고등학교	고등학교/NNG
대대통령	대/NNB + 대통령/NNG
개월짜리	개월/NNB + 짜리/XSN
대메이저	대/NNG + 메이저/NNG
개위원회	개/NNB + 위원회/NNG
고속도로	고속도로/NNG
군단요원	군단/NNG + 요원/NNG
군사령관	군사령관/NNG
군사령부	군사령부/NNG
억달러대	억/NR + 달러/NNB + 대/XSN
억달러씩	억/NR + 달러/NNB + 씩/XSN
년임기제	년/NNB + 임기/NNG + 제/XSN
억달러쯤	억/NR + 달러/NNB + 쯤/XSN
억미달러	억/NR + 미/NNP + 달러/NNB
군사학교	군사학교/NNG
억여달러	억/NR + 여/XSN + 달러/NNB
억여원중	억/NR + 여/XSN + 원/NNB + 중/NNB
억원가량	억/NR + 원/NNB + 가량/NNG
억원규모	억/NR + 원/NNB + 규모/NNG
억원상당	억/NR + 원/NNB + 상당/NNG
억원어치	억/NR + 원/NNB + 어치/NNG
억원짜리	억/NR + 원/NNB + 짜리/XSN
억파운드	억/NR + 파운드/NNB
억t짜리	억/NR + t/SL + 짜리/XSN
여개노조	여/XSN + 개/NNB + 노조/NNG
여개업체	여/XSN + 개/NNB + 업체/NNG
여드렛날	여드렛날/NNG
여든일곱	여든/NR + 일곱/NR
여만달러	여/XSN + 만/NR + 달러/NNB
여만원선	여/XSN + 만/NR + 원/NNB + 선/NNG
여만원씩	여/XSN + 만/NR + 원/NNB + 씩/XSN
여명끼리	여/XSN + 명/NNB + 끼리/XSN
여분동안	여/XSN + 분/NNB + 동안/NNG
여섯번째	여섯/NR + 번/NNB + 째/XSN
여억원대	여/XSN + 억/NR + 원/NNB + 대/XSN
여쪽짜리	여/XSN + 쪽/NNG + 짜리/XSN
년제대학	년/NNB + 제/XSN + 대학/NNG
여통이상	여/XSN + 통/NNG + 이상/NNG
여m가량	여/XSN + m/SL + 가량/NNG
여m아래	여/XSN + m/SL + 아래/NNG
연방법원	연방/NNG + 법원/NNG
연속경기	연속/NNG + 경기/NNG
열번째쯤	열/NR + 번/NNB + 째/XSN + 쯤/NNG
예순다섯	예순다섯/NR
예순일곱	예순/NR + 일곱/NR
오라비네	오라비/NNG + 네/XSN
오륙백원	오/NR + 륙백/NR + 원/NNB
와트짜리	와트/NNB + 짜리/XSN
월음악제	월/NNB + 음악제/NNG
大分斷國	大分斷國/SH
응급체계	응급/NNG + 체계/NNG
이산가족	이산가족/NNG
인위원회	인/NNG + 위원회/NNG
가마니쯤	가마니/NNG + 쯤/XSN
인치짜리	인치/NNB + 짜리/XSN
인터셉트	인터셉트/NNG
일간구금	일/NNB + 간/NNG + 구금/NNG
일고여덟	일고여덟/NR
년초이래	년/NNB + 초/NNB + 이래/NNB
일생활권	일/NNB + 생활/NNG + 권/XSN
일용산구	일/NNB + 용산구/NNP
일쯤국회	일/NNB + 쯤/XSN + 국회/NNG
임투승리	임투/NNG + 승리/NNG
자격인증	자격/NNG + 인증/NNG
장가운데	장/NNG + 가운데/NNG
점대짜리	점/NNB + 대/XSN + 짜리/XSN
정규리그	정규/NNG + 리그/NNG
정보센터	정보/NNG + 센터/NNG
제곱미터	제곱미터/NNB
제곱미터	제곱미터/NNG
제곱피트	제곱/NNG + 피트/NNB
그램짜리	그램/NNB + 짜리/XSN
그루가량	그루/NNB + 가량/NNG
대수습책	대/NNG + 수습책/NNG
가지이상	가지/NNB + 이상/NNG
대여섯쯤	대여섯/NR + 쯤/XSN
급군구중	급/NNG + 군구/NNG + 중/NNB
급자격증	급/NNG + 자격증/NNG
급장애인	급/NNG + 장애인/NNG
급장해시	급/NNG + 장해/NNG + 시/NNB
개지구당	개/NNB + 지구당/NNG
기본부문	기본/NNG + 부문/NNG
꼬챙이씩	꼬챙이/NNG + 씩/XSN
나노미터	나노미터/NNB
조바이트	조/NR + 바이트/NNB
조원어치	조/NR + 원/NNB + 어치/NNG
조원이상	조/NR + 원/NNB + 이상/NNG
조원투자	조/NR + 원/NNB + 투자/NNG
주년기념	주년/NNB + 기념/NNG
주년회견	주년/NNB + 회견/NNG
주일동안	주일/NNB + 동안/NNG
주일이상	주일/NNB + 이상/NNG
지선다형	지/NNB + 선다/NNG + 형/XSN
차공천자	차/NNB + 공천자/NNG
차대의원	차/NNB + 대의원/NNG
차대전때	차/NNB + 대전/NNG + 때/NNG
차대전중	차/NNB + 대전/NNG + 중/NNB
차대전후	차/NNB + 대전/NNG + 후/NNG
차방정식	차/NNB + 방정식/NNG
차선도로	차선/NNG + 도로/NNG
차신경통	차/NNB + 신경통/NNG
평4량식	평/NNG + 4/SN + 량/NNB + 식/NNG
차신경핵	차/NNB + 신경핵/NNG
차아파트	차/NNB + 아파트/NNG
次的關係	次的關係/SH
차조사단	차/NNB + 조사단/NNG
차지원분	차/NNB + 지원/NNG + 분/XSN
대조고비	대조/NNG + 고비/NNG
대할머니	대/NNB + 할머니/NNG
데시빌쯤	데시빌/NNB + 쯤/XSN
개항지시	개/NNB + 항/NNG + 지시/NNG
리바운드	리바운드/NNG
리어카분	리어카/NNG + 분/XSN
도창의대	도/NNG + 창의대/NNG
독립선언	독립/NNG + 선언/NNG
돈쭝짜리	돈쭝/NNB + 짜리/XSN
단계사업	단계/NNG + 사업/NNG
네다섯쯤	네다섯/NR + 쯤/XSN
리터들이	리터/NNB + 들이/XSN
개년계획	개년/NNB + 계획/NNG
네버다이	네버다이/NNG
동사무소	동사무소/NNG
리터짜리	리터/NNB + 짜리/XSN
드라이버	드라이버/NNG
마더보드	마더보드/NNG
등기관사	등/NNB + 기관사/NNG
등서기관	등/NNB + 서기관/NNG
천가구씩	천/NR + 가구/NNG + 씩/XSN
천달러대	천/NR + 달러/NNB + 대/NNB
천만달러	천만/NR + 달러/NNB
천만엔대	천만/NR + 엔/NNB + 대/XSN
천만여명	천만/NR + 여/XSN + 명/NNB
천만여원	천만/NR + 여/XSN + 원/NNB
천만여주	천만/NR + 여/XSN + 주/NNG
천만원대	천만/NR + 원/NNB + 대/XSN
천만원씩	천만/NR + 원/NNB + 씩/XSN
천명미만	천/NR + 명/NNB + 미만/NNG
천명이상	천/NR + 명/NNB + 이상/NNG
천석거리	천/NR + 석/NNB + 거리/NNG
천수백만	천/NR + 수백만/NR
천억규모	천억/NR + 규모/NNG
천억달러	천억/NR + 달러/NNB
천억여원	천억/NR + 여/XSN + 원/NNB
천억원대	천억/NR + 원/NNB + 대/XSN
천억원등	천억/NR + 원/NNB + 등/NNB
단팔마왕	단팔/NNG + 마왕/NNG
천억조성	천억/NR + 조성/NNG
천여가지	천/NR + 여/XSN + 가지/NNB
천여그루	천/NR + 여/XSN + 그루/NNB
천여마리	천/NR + 여/XSN + 마리/NNB
천여만원	천/NR + 여/XSN + 만/NR + 원/NNB
천여명선	천/NR + 여/XSN + 명/NNB + 선/NNG
천여세대	천/NR + 여/XSN + 세대/NNG
천여억원	천/NR + 여/XSN + 억/NR + 원/NNB
천여표쯤	천/NR + 여/XSN + 표/NNG + 쯤/XSN
천여표차	천/NR + 여/XSN + 표차/NNG
천여필지	천/NR + 여/XSN + 필지/NNB
천원어치	천원어치/NNG
천원짜리	천/NR + 원/NNB + 짜리/XSN
천W짜리	천/NR + W/SL + 짜리/XSN
초생활권	초/NNB + 생활/NNG + 권/XSN
층베란다	층/NNG + 베란다/NNG
층탑신부	층/NNG + 탑신부/NNG
칠평짜리	칠/NR + 평/NNB + 짜리/XSN
크루제이	크루제이/NNG
키로미터	키로미터/NNG
킬로그램	킬로그램/NNB
킬로미터	킬로미터/NNB
킬로미터	킬로미터/NNG
킬로비트	킬로비트/NNG
킬로와트	킬로와트/NNB
탑식가람	탑식/NNG + 가람/NNG
텔레비전	텔레비전/NNG
텔리비전	텔리비전/NNG
파운드당	파운드/NNB + 당/XSN
팔십칠년	팔/NR + 십칠/NR + 년/NNB
퍼센트선	퍼센트/NNB + 선/NNG
퍼센트씩	퍼센트/NNB + 씩/XSN
퍼센트쯤	퍼센트/NNB + 쯤/NNG
퍼센트쯤	퍼센트/NNB + 쯤/XSN
페니짜리	페니/NNG + 짜리/XSN
페이지씩	페이지/NNG + 씩/XSN
평반짜리	평/NNB + 반/NNG + 짜리/XSN
평방미터	평방미터/NNB
평형짜리	평/NNB + 형/XSN + 짜리/XSN
포인트당	포인트/NNG + 당/XSN
프랑짜리	프랑/NNB + 짜리/XSN
마력짜리	마력/NNB + 짜리/XSN
프로야구	프로/NNG + 야구/NNG
프로축구	프로/NNG + 축구/NNG
피리어드	피리어드/NNG
피아스타	피아스타/NNG
피코그램	피코그램/NNG
하나은행	하나은행/NNP
학급이상	학급/NNG + 이상/NNG
학년때쯤	학년/NNG + 때/NNG + 쯤/XSN
학년이래	학년/NNG + 이래/NNB
학년이상	학년/NNG + 이상/NNG
학년짜리	학년/NNG + 짜리/XSN
학점이내	학점/NNG + 이내/NNG
학점짜리	학점/NNG + 짜리/XSN
할아버지	할아버지/NNG
합당합당	합당/NNG + 합당/NNG
호집자리	호/NNB + 집자리/NNG
회계연도	회계/NNG + 연도/NNG
CC짜리	CC/SL + 짜리/XSN
cc짜리	cc/SL + 짜리/XSN
city	city/SL
cm내외	cm/SL + 내외/NNG
cm정도	cm/SL + 정도/NNG
Cm정도	Cm/SL + 정도/NNG
cm조금	cm/SL + 조금/NNG
D캐릭터	D/SL + 캐릭터/NNG
KB짜리	KB/SL + 짜리/XSN
Kbps	Kbps/SL
kcal	kcal/SL
Kcal	Kcal/SL
kg정도	kg/SL + 정도/NNG
kg짜리	kg/SL + 짜리/XSN
