abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
일째	일/NNB + 째/XSN
시대	시대/NNG
일쯤	일/NNB + 쯤/NNB
일쯤	일/NNB + 쯤/XSN
시루	시루/NNG
일치	일/NNB + 치/NNB
일후	일/NNB + 후/NNG
사건	사건/NNG
입중	입중/NNG
자간	자/NNG + 간/NNB
사구	사구/NNG
시반	시/NNB + 반/NNG
번대	번/NNB + 대/NNG
자녀	자녀/NNG
사단	사단/NNG
자루	자루/NNB
자리	자리/NNG
번대	번/NNB + 대/XSN
자매	자매/NNG
자모	자모/NNG
자식	자식/NNG
자씩	자/NNB + 씩/XSN
자씩	자/NNG + 씩/XSN
시장	시장/NNG
고지	고지/NNG
시점	시점/NNG
자제	자제/NNG
시즌	시즌/NNG
간방	간/NNB + 방/NNG
사도	사도/NNG
시쯤	시/NNB + 쯤/NNB
시쯤	시/NNB + 쯤/NNG
시쯤	시/NNB + 쯤/XSN
시차	시차/NNG
자평	자/NNG + 평/NNG
자평	자평/NNG
자형	자형/NNG
사람	사람/NNG
시티	시티/NNG
작품	작품/NNG
시합	시합/NNG
잔쯤	잔/NNG + 쯤/XSN
명꼴	명/NNB + 꼴/XSN
사례	사례/NNG
장관	장관/NNG
장군	장군/NNG
장당	장/NNB + 당/XSN
장대	장대/NNG
장면	장면/NNG
장문	장문/NNG
장벽	장벽/NNG
장복	장복/NNG
장사	장사/NNG
장소	장소/NNG
장씩	장/NNB + 씩/XSN
장씩	장/NNG + 씩/XSN
장여	장/NNB + 여/XSN
장자	장자/NNG
사무	사무/NNG
장형	장/NNB + 형/XSN
적제	적/NNG + 제/XSN
식구	식구/NNG
년치	년/NNB + 치/XSN
전대	전대/NNG
사발	사발/NNG
신고	신고/NNG
전씩	전/NNB + 씩/XSN
전쟁	전쟁/NNG
신당	신/XPN + 당/NNG
신분	신분/NNG
전후	전후/NNG
절기	절기/NNG
절지	절/NNG + 지/NNG
절터	절터/NNG
절후	절후/NNG
점대	점/NNB + 대/XSN
점때	점/NNB + 대/XSN
신사	신사/NNG
명당	명/NNB + 당/XSN
점슛	점/NNB + 슛/NNG
점씩	점/NNB + 씩/XSN
실링	실링/NNB
사분	사/NR + 분/NNB
실장	실장/NNG
점차	점/NNB + 차/NNG
점포	점/NNB + 포/NNG
점포	점포/NNG
실점	실점/NNG
접시	접시/NNG
접철	접철/NNG
정간	정간/NNG
정도	정도/NNG
정맥	정맥/NNG
정보	정보/NNB
공식	공식/NNG
정부	정부/NNG
량가	량/NNG + 가/NNG
정신	정신/NNG
정제	정/NNG + 제/XSN
정책	정책/NNG
굴덴	굴덴/NNG
번선	번/NNB + 선/NNG
사업	사업/NNG
고희	고희/NNG
대선	대선/NNG
명등	명/NNB + 등/NNB
제국	제국/NNG
제도	제도/NNG
제불	제불/NNG
제자	제자/NNG
굽이	굽이/NNG
궁전	궁전/NNG
백분	백/NR + 분/XSN
권값	권/NNB + 값/NNG
권당	권/NNB + 당/XSN
심제	심/NNG + 제/XSN
권씩	권/NNB + 씩/XSN
권역	권역/NNG
권중	권/NNB + 중/NNB
권째	권/NNB + 째/XSN
권쯤	권/NNB + 쯤/XSN
귀절	귀절/NNG
그램	그램/NNB
그램	그램/NNG
사위	사위/NNG
간씩	간/NNB + 씩/XSN
간씩	간/NNG + 씩/XSN
간지	간지/NNG
명분	명/NNB + 분/XSN
년판	년/NNB + 판/NNG
십년	십/NR + 년/NNB
십만	십만/NR
번씩	번/NNB + 씩/XSN
대손	대/NNB + 손/NNG
그루	그루/NNB
십명	십/NR + 명/NNB
그룹	그룹/NNG
그릇	그릇/NNG
가족	가족/NNG
십억	십억/NR
대손	대손/NNG
명뿐	명/NNB + 뿐/NNB
극간	극간/NNG
십여	십/NR + 여/XSN
십일	십/NR + 일/NR
대씩	대/NNB + 씩/XSN
쌍꼴	쌍/NNG + 꼴/NNG
개주	개/NNB + 주/NNG
대양	대양/NNG
쌍중	쌍/NNG + 중/NNB
쎈트	쎈트/NNB
배수	배수/NNG
大洋	大洋/SH
쎈티	쎈티/NNB
글자	글자/NNG
개중	개/NNB + 중/NNB
간집	간/NNB + 집/NNG
개반	개/NNB + 반/NNG
명선	명/NNB + 선/NNG
사찰	사찰/NNG
대여	대여/NNG
갤런	갤런/NNB
거두	거두/NNG
공역	공/NNG + 역/NNG
년형	년/NNB + 형/XSN
명소	명소/NNG
금융	금융/NNG
개지	개지/NNG
사천	사천/NR
급수	급수/NNG
공사	공사/NNG
아들	아들/NNG
사태	사태/NNG
간통	간통/NNB
사회	사회/NNG
만번	만/NR + 번/NNB
년씩	년/NNB + 씩/XSN
대왕	대/NNB + 왕/NNG
사후	사후/NNG
명씩	명/NNB + 씩/XSN
아우	아우/NNG
간폭	간/NNB + 폭/NNG
년께	년/NNB + 께/XSN
사흘	사흘/NNG
대원	대원/NNG
급지	급지/NNG
기가	기가/NNB
년후	년/NNB + 후/NNG
기갑	기갑/NNG
아이	아이/NNG
명안	명안/NNG
배씩	배/NNG + 씩/XSN
기관	기관/NNG
공시	공/NNG + 시/NNB
기당	기/NNB + 당/XSN
악곡	악곡/NNG
기록	기록/NNG
악장	악장/NNG
갈래	갈래/NNG
감각	감각/NNG
번중	번/NNB + 중/NNB
안타	안타/NNG
기분	기/NNG + 분/XSN
암제	암/NNG + 제/XSN
개째	개/NNB + 째/XSN
기사	기사/NNG
기생	기/NNB + 생/XSN
기씩	기/NNB + 씩/XSN
기암	기/NNB + 암/NNG
개쯤	개/NNB + 쯤/XSN
산화	산/NNG + 화/XSN
기자	기자/NNG
기준	기준/NNG
기층	기/NNB + 층/NNG
노구	노구/NNG
야당	야당/NNG
야드	야드/NNB
기통	기통/NNG
살경	살/NNB + 경/XSN
살때	살/NNB + 때/NNG
노령	노령/NNG
번지	번지/NNG
金식	金/SH + 식/NNB
개체	개체/NNG
김씨	김/NNP + 씨/NNB
金씨	金/SH + 씨/NNB
살반	살/NNB + 반/NNG
양주	양주/NNG
번째	번/NNB + 째/XSN
양푼	양푼/NNG
살선	살/NNB + 선/NNG
명절	명절/NNG
꼭지	꼭지/NNB
백원	백/NR + 원/NNB
노인	노인/NNG
조각	조각/NNG
조개	조/NR + 개/NNB
조건	조건/NNG
조명	조/NR + 명/NNB
조목	조목/NNG
조분	조/NR + 분/NNG
조상	조/NNB + 상/XSN
조씩	조/NR + 씩/XSN
조엔	조/NR + 엔/NNB
조여	조/NR + 여/XSN
조원	조/NR + 원/NNB
兆원	兆/SH + 원/NNB
딸네	딸/NNG + 네/XSN
개석	개/NNB + 석/NNG
공탄	공탄/NNG
년내	년/NNB + 내/NNB
조정	조정/NNG
개성	개/NNB + 성/NNG
百원	百/SH + 원/NNB
살짜	살/NNB + 짜리/XSN +
조평	조/NR + 평/NNB
개소	개소/NNB
존불	존불/NNG
종류	종류/NNG
종목	종목/NNG
종뿐	종/NNG + 뿐/NNB
종씩	종/NNG + 씩/XSN
종이	종이/NNG
종족	종족/NNG
개시	개/NNB + 시/NNG
종쯤	종/NNG + 쯤/XSN
개발	개발/NNG
종합	종합/NNG
살쯤	살/NNB + 쯤/XSN
각도	각/NNG + 도/NNG
주간	주/NNB + 간/NNB
주기	주기/NNB
대조	대/NNB + 조/NNG
주년	주년/NNB
周年	周年/SH
노조	노조/NNG
년대	년/NNB + 대/XSN
주당	주/NNG + 당/XSN
주만	주/NNB + 만/NNB
과목	과목/NNG
주씩	주/NNB + 씩/XSN
주씩	주/NNG + 씩/XSN
주야	주야/NNG
개씩	개/NNB + 씩/XSN
삼일	삼/NR + 일/NNG
주일	주일/NNB
삼진	삼진/NNG
삼촌	삼촌/NNG
삼회	삼/NR + 회/NNB
명중	명/NNB + 중/NNB
가사	가사/NNG
상씩	상/NNG + 씩/XSN
상자	상자/NNG
개동	개/NNB + 동/NNG
주전	주/NNB + 전/NNG
주째	주/NNB + 째/XSN
주쯤	주/NNB + 쯤/XSN
주차	주/NNB + 차/NNB
주택	주택/NNG
계층	계층/NNG
줄기	줄기/NNG
중고	중/NNG + 고/NNG
과장	과장/NNG
번쯤	번/NNB + 쯤/XSN
개안	개/NNB + 안/NNG
중대	중대/NNG
과제	과제/NNG
중적	중/NNG + 적/XSN
관당	관/NNB + 당/XSN
중주	중주/NNG
관문	관문/NNG
중창	중/NNG + 창/NNG
개어	개/NNB + 어/NNG
노총	노총/NNG
백불	백/NR + 불/NNG
관왕	관왕/NNG
지구	지구/NNG
지망	지망/NNG
명째	명/NNB + 째/XSN
지수	지수/NNG
지역	지역/NNG
지점	지점/NNG
진동	진동/NNG
진법	진법/NNG
진수	진/NNG + 수/NNG
집꼴	집/NNG + 꼴/NNG
집단	집단/NNG
집당	집/NNG + 당/XSN
집반	집/NNG + 반/NNG
개역	개/NNB + 역/NNG
집째	집/NNB + 째/XSN
짝씩	짝/NNB + 씩/XSN
광년	광년/NNB
째권	째/XSN + 권/NNB
째딸	째/XSN + 딸/NNG
째수	째/XSN + 수/NNB
새끼	새끼/NNG
각형	각/NNG + 형/XSN
번호	번/NNB + 호/NNG
노트	노트/NNG
각형	각형/NNG
차관	차관/NNG
번호	번호/NNG
색기	색기/NNG
번홀	번/NNB + 홀/NNG
색춤	색/NNG + 춤/NNG
명쯤	명/NNB + 쯤/XSN
차량	차량/NNG
차례	차례/NNG
류극	류/XSN + 극/NNG
차로	차로/NNG
생명	생명/NNG
버전	버전/NNG
서넛	서넛/NR
교대	교대/NNG
차분	차/NNB + 분/XSN
교시	교시/NNB
개월	개월/NNB
개붤	개월/NNB
차선	차선/NNG
교실	교실/NNG
교회	교회/NNG
차시	차/NNB + 시/NNB
서방	서방/NNG
강전	강전/NNG
뇌실	뇌실/NNG
벌씩	벌/NNB + 씩/XSN
서울	서울/NNP
차원	차원/NNG
次元	次元/SH
대가	대가/NNG
누나	누나/NNG
강행	강행/NNG
차장	차장/NNG
차적	차/NNB + 적/XSN
次的	次的/SH
차전	차/NNB + 전/NNG
벌타	벌/NNG + 타/NNG
대간	대간/NNG
누님	누님/NNG
량식	량/NNB + 식/NNB
구간	구간/NNG
석꾼	석/NNB + 꾼/XSN
구경	구경/NNG
참씩	참/NNG + 씩/XSN
창녀	창녀/NNG
창당	창당/NNG
채널	채널/NNG
처리	처리/NNG
처장	처장/NNG
처제	처/NNG + 제/XSN
누이	누이/NNG
석대	석/NNB + 대/NNB
뉴스	뉴스/NNG
척당	척/NNB + 당/XSN
척도	척도/NNG
척씩	척/NNB + 씩/XSN
척쯤	척/NNB + 쯤/XSN
대강	대/NNB + 강/NNG
모꼴	모/NNG + 꼴/XSN
모델	모델/NNG
모음	모음/NNG
배줌	배/NNG + 줌/NNG
모작	모작/NNG
만갑	만/NR + 갑/NNG
경비	경비/NNG
년안	년/NNB + 안/NNG
구년	구/NR + 년/NNB
범주	범주/NNG
강좌	강좌/NNG
나라	나라/NNG
개층	개/NNB + 층/NNG
대종	대/NNB + 종/NNG
개통	개/NNB + 통/NNG
석쯤	석/NNB + 쯤/XSN
대주	대주/NNG
갑씩	갑/NNG + 씩/XSN
대지	대/NNB + 지/NNG
만자	만/NR + 자/NNB
나무	나무/NNG
대째	대/NNB + 째/XSN
대쪽	대/NNB + 쪽/NNB
개팀	개/NNB + 팀/NNG
대쯤	대/NNB + 쯤/XSN
나이	나이/NNG
범행	범행/NNG
대개	대개/NNG
년여	년/NNB + 여/XSN
만병	만병/NNG
법칙	법칙/NNG
대초	대/NNB + 초/NNB
선급	선/NNB + 급/NNG
목적	목적/NNG
당수	당수/NNG
만매	만/NR + 매/NNB
나한	나한/NNG
고개	고개/NNG
선수	선수/NNG
대국	대/NNB + 국/NNG
배쯤	배/NNG + 쯤/XSN
나흘	나흘/NNG
가동	가동/NNG
개피	개피/NNG
리간	리/NNB + 간/NNB
대층	대/NNB + 층/XSN
대학	대학/NNG
목제	목/NNG + 제/XSN
대회	대회/NNG
가량	가량/NNG
리길	리/NNB + 길/NNG
개항	개/NNB + 항/NNG
구분	구분/NNG
덩이	덩이/NNG
다섯	다섯/NR
구비	구비/NNG
선지	선지/NNG
병당	병/NNG + 당/XSN
가례	가례/NNG
개군	개/NNB + 군/NNB
묘제	묘/NNG + 제/XSN
만개	만/NR + 개/NNB
공영	공영/NNG
구씩	구/NNB + 씩/XSN
도간	도/NNG + 간/NNB
구씩	구/NNG + 씩/XSN
도령	도령/NNG
도로	도로/NNG
리씩	리/NNB + 씩/XSN
공장	공장/NNG
年代	年代/SH
구역	구역/NNG
구절	구절/NNG
대군	대군/NNG
리장	리/NNB + 장/NNG
대궁	대/XPN + 궁/NNG
백인	백/NR + 인/NNG
건당	건/NNB + 당/XSN
병상	병상/NNG
도루	도루/NNG
만장	만/NR + 장/NNB
병씩	병/NNG + 씩/XSN
성적	성적/NNG
구째	구/NNG + 째/XSN
만정	만/NR + 정/NNB
도선	도/NNB + 선/NNG
성조	성조/NNG
도스	도스/NNG
성지	성지/NNG
도시	도시/NNG
도심	도심/NNG
도씩	도/NNB + 씩/XSN
골씩	골/NNG + 씩/XSN
골차	골/NNG + 차/NNG
도움	도움/NNG
당시	당시/NNG
도제	도/NNG + 제/XSN
대꼴	대/NNB + 꼴/XSN
남매	남매/NNG
남중	남/NNG + 중/NNB
낫싱	낫싱/NNG
만종	만/NR + 종/NNG
구체	구/NNG + 체/NNG
도쯤	도/NNB + 쯤/XSN
곳당	곳/NNG + 당/XSN
대당	대/NNB + 당/XSN
개현	개/NNB + 현/NNG
개군	개/NNB + 군/NNG
강팀	강팀/NNG
곳뿐	곳/NNG + 뿐/NNB
개부	개/NNB + 부/NNG
개권	개/NNB + 권/XSN
문씩	문/NNB + 씩/XSN
문자	문자/NNG
도쿄	도쿄/NNP
가지	가지/NNB
대대	대대/NNG
냥빚	냥/NNB + 빚/NNG
만주	만/NR + 주/NNG
돈쭝	돈쭝/NNB
문제	문제/NNG
단간	단/NNG + 간/NNB
냥씩	냥/NNB + 씩/XSN
국가	국가/NNG
단계	단계/NNG
국간	국/NNG + 간/NNB
國間	國間/SH
곳중	곳/NNG + 중/NNB
가마	가마/NNG
국당	국/NNG + 당/XSN
국민	국민/NNG
병원	병원/NNG
병쯤	병/NNG + 쯤/XSN
만쪽	만/NR + 쪽/NNG
네댓	네댓/NR
개급	개/NNB + 급/NNG
세계	세계/NNG
단독	단독/NNG
문항	문항/NNG
레인	레인/NNG
국사	국사/NNG
단보	단보/NNB
리쯤	리/NNB + 쯤/XSN
리터	리터/NNB
단보	단보/NNG
가방	가방/NNG
세기	세기/NNG
개꼴	개/NNB + 꼴/XSN
개년	개년/NNB
국산	국산/NNG
뭉치	뭉치/NNG
뮌헨	뮌헨/NNP
個年	個年/SH
국장	국장/NNG
世紀	世紀/SH
국제	국제/NNG
백일	백/NR + 일/NNB
미리	미리/NNB
공공	공/NR + 공/NR
미만	미만/NNG
공구	공구/NNG
대등	대/NNB + 등/NNB
보루	보루/NNB
대때	대/NNB + 때/NNG
동강	동강/NNG
동네	동네/NNG
동리	동리/NNG
미음	미음/NNG
개면	개/NNB + 면/NNG
대로	대로/NNG
미터	미터/NNB
미터	미터/NNG
롯데	롯데/NNP
보림	보림/NNG
립중	립/NNB + 중/NNG
고령	고령/NNG
보시	보/NNB + 시/NNG
대륙	대륙/NNG
민영	민영/NNG
대말	대/NNB + 말/NNB
동산	동/NNG + 산/NNG
민족	민족/NNG
동생	동생/NNG
동서	동서/NNG
갑자	갑자/NNG
배출	배출/NNG
녀석	녀석/NNB
녀중	녀/NNG + 중/NNB
동이	동이/NNG
동작	동작/NNG
되씩	되/NNB + 씩/XSN
국행	국행/NNG
두령	두령/NNG
두름	두름/NNB
마당	마당/NNB
밀리	밀리/NNB
단식	단식/NNG
복식	복식/NNG
단씩	단/NNG + 씩/XSN
단어	단어/NNG
만건	만/NR + 건/NNB
대0	대/NNB + 0/NR
개縣	개/NNB + 縣/SH
만결	만/NR + 결/NNB
만곳	만/NR + 곳/NNG
공기	공기/NNG
단위	단위/NNG
개은	개/NNB + 은/NNG
군단	군단/NNG
두씩	두/NNB + 씩/XSN
공단	공단/NNG
간반	간/NNB + 반/NNG
두품	두품/NNG
둘씩	둘/NR + 씩/XSN
單位	單位/SH
가구	가구/NNG
백자	백/NR + 자/NNG
드럼	드럼/NNG
득점	득점/NNG
만부	만/NR + 부/NNB
만권	만/NR + 권/NNB
고모	고모/NNG
대목	대목/NNG
개구	개/NNB + 구/NNG
막극	막/NNG + 극/NNG
단장	단장/NNG
단전	단전/NNG
복자	복자/NNG
바늘	바늘/NNG
바다	바다/NNG
단지	단지/NNG
마디	마디/NNG
등국	등국/NNG
만분	만/NR + 분/XSN
개장	개/NNB + 장/NNG
등군	등군/NNG
등급	등급/NNG
만콜	만/NR + 콜/NNG
본과	본과/NNG
군데	군데/NNB
본부	본부/NNG
볼넷	볼넷/NNG
개점	개/NNB + 점/NNG
등분	등분/NNG
볼트	볼트/NNB
등상	등/NNB + 상/NNG
단쯤	단/NNB + 쯤/XSN
바퀴	바퀴/NNB
바트	바트/NNG
개홀	개/NNB + 홀/NNG
천개	천/NR + 개/NNB
개조	개/NNB + 조/NNB
천건	천/NR + 건/NNB
천권	천/NR + 권/NNB
천년	천/NR + 년/NNB
만큼	만큼/NNB
대문	대문/NNG
만불	만/NR + 불/NNB
봉인	봉인/NNG
게임	게임/NNG
억갑	억/NR + 갑/NNG
억개	억/NR + 개/NNB
천대	천/NR + 대/NNB
억건	억/NR + 건/NNB
천량	천/NR + 량/NNB
억년	억/NR + 년/NNB
천리	천/NR + 리/NNB
가닥	가닥/NNG
봉지	봉지/NNG
령씩	령/NNB + 씩/XSN
천만	천만/NNG
천만	천만/NR
만톤	만/NR + 톤/NNB
만통	만/NR + 통/NNB
등석	등/NNB + 석/NNG
억대	억/NR + 대/XSN
억만	억만/NR
억명	억/NR + 명/NNB
答식	答/SH + 식/NNB
세대	세대/NNG
억번	억/NR + 번/NNB
억병	억/NR + 병/NNG
억분	억/NR + 분/NNB
억불	억/NR + 불/NNB
억弗	억/NR + 弗/SH
億弗	億弗/SH
달치	달/NNB + 치/XSN
백장	백/NR + 장/NNB
세등	세/NNB + 등/NNB
공도	공도/NNG
공때	공/NNG + 때/NNG
단통	단통/NNG
단팀	단/NNG + 팀/NNG
억살	억/NR + 살/NNB
세때	세/NNB + 때/NNG
천면	천/NR + 면/NNG
천명	천/NR + 명/NNB
만년	만/NR + 년/NNB
만편	만/NR + 편/NNB
억쌍	억/NR + 쌍/NNG
억씩	억/NR + 씩/XSN
세리	세리/NNB
천문	천/NR + 문/NNG
억엔	억/NR + 엔/NNB
억여	억/NR + 여/XSN
천발	천/NR + 발/NNB
천벌	천/NR + 벌/NNB
천본	천/NR + 본/NNB
천봉	천/NR + 봉/NNG
천부	천/NR + 부/NNB
천분	천/NR + 분/XSN
천불	천/NR + 불/NNB
천弗	천/NR + 弗/SH
만평	만/NR + 평/NNB
배폭	배/NNG + 폭/NNB
세마	세/NNB + 마/NNG
년작	년/NNB + 작/NNG
년장	년/NNB + 장/NNG
천실	천/NR + 실/NNG
천쌍	천/NR + 쌍/NNG
천어	천/NR + 어/NNG
천억	천억/NR
억원	억/NR + 원/NNB
억元	억/NR + 元/SH
萬坪	萬坪/SH
백점	백/NR + 점/NNB
백접	백/NR + 접/NNB
세손	세손/NNG
부당	부/NNB + 당/XSN
부대	부대/NNG
세전	세/NNB + 전/NNG
세조	세/NNB + 조/NNG
만단	만/NR + 단/NNB
천엔	천/NR + 엔/NNB
천여	천/NR + 여/XSN
부두	부두/NNG
세쯤	세/NNB + 쯤/XSN
억인	억/NR + 인/NNG
억잔	억/NR + 잔/NNG
억장	억/NR + 장/NNB
억정	억/NR + 정/NNB
억주	억/NR + 주/NNG
억중	억/NR + 중/NNB
년전	년/NNB + 전/NNG
부락	부락/NNG
등성	등성/NNB
억쯤	억/NR + 쯤/XSN
세트	세트/NNG
억통	억/NR + 통/NNB
대1	대/NNB + 1/SN
세포	세포/NNG
백조	백조/NR
억평	억/NR + 평/NNB
센터	센터/NNG
억g	억/NR + g/SL
억m	억/NR + m/SL
억t	억/NR + t/SL
센트	센트/NNB
언니	언니/NNG
언더	언더/NNG
부문	부문/NNG
천원	천/NR + 원/NNB
만석	만/NR + 석/NNB
언시	언/NNG + 시/NNG
센티	센티/NNB
경제	경제/NNG
만섬	만/NR + 섬/NNB
천인	천/NR + 인/NNG
천자	천/NR + 자/NNG
천장	천/NR + 장/NNB
천장	천장/NNG
천주	천/NR + 주/NNB
천질	천/NR + 질/NNB
천차	천/NR + 차/NNB
천채	천/NR + 채/NNB
천컷	천/NR + 컷/NNG
엔당	엔/NNB + 당/XSN
천킵	천/NR + 킵/NNG
천톤	천/NR + 톤/NNB
천통	천/NR + 통/NNB
천평	천/NR + 평/NNB
천坪	천/NR + 坪/SH
엔대	엔/NNB + 대/XSN
천호	천/NR + 호/NNB
천회	천/NR + 회/NNB
엔진	엔진/NNG
년래	년/NNB + 래/NNG
개공	개/NNB + 공/NNG
천m	천/NR + m/SL
천t	천/NR + t/SL
개과	개/NNB + 과/NNG
여간	여/XSN + 간/NNB
여개	여/XSN + 개/NNB
청사	청사/NNG
체급	체급/NNG
여개	여/XSN + 개국/NNB
체제	체제/NNG
부부	부부/NNG
초간	초/NNB + 간/NNB
초간	초/NNB + 간/NNG
초당	초/NNB + 당/XSN
초대	초/NNB + 대/XSN
소경	소경/NNG
초만	초/NNB + 만/JX
百兆	百兆/SH
초소	초소/NNG
초속	초/NNB + 속/NNG
초씩	초/NNB + 씩/XSN
초전	초/NNB + 전/NNG
만표	만/NR + 표/NNG
초쯤	초/NNB + 쯤/XSN
초차	초/NNB + 차/NNG
소년	소년/NNG
촌네	촌/NNB + 네/XSN
소대	소대/NNG
촌락	촌락/NNG
촌씩	촌/NNB + 씩/XSN
부분	부분/NNG
촌집	촌/NNB + 집/NNG
촌쯤	촌/NNB + 쯤/NNB
총사	총사/NNG
총장	총장/NNG
총재	총재/NNG
추경	추경/NNG
달간	달/NNG + 간/NNG
측성	측/NNB + 성/NNG
층간	층/XSN + 간/NNB
여건	여/XSN + 건/NNB
여곡	여/XSN + 곡/NNG
층단	층/NNG + 단/NNG
층단	층단/NNG
여곳	여/XSN + 곳/NNG
소리	소리/NNG
여국	여/XSN + 국/NNG
여권	여/XSN + 권/NNB
층밥	층/NNG + 밥/NNG
층방	층/NNG + 방/NNG
對1	對/SH + 1/SN
방울	방울/NNG
여기	여/XSN + 기/NNB
층씩	층/NNG + 씩/XSN
여길	여/XSN + 길/NNB
층전	층/NNB + 전/NNG
여년	여/XSN + 년/NNB
속당	속/NNB + 당/XSN
층집	층/NNG + 집/NNG
속당	속/NNG + 당/XSN
층쯤	층/NNG + 쯤/XSN
층탑	층/NNG + 탑/NNG
만명	만/NR + 명/NNB
부씩	부/NNB + 씩/XSN
치쯤	치/NNB + 쯤/NNG
송이	송이/NNG
칠년	칠/NR + 년/NNB
칠백	칠백/NR
칠십	칠십/NR
칠일	칠/NR + 일/NNB
칠천	칠천/NR
칠팔	칠팔/NR
여단	여단/NNG
여대	여/XSN + 대/NNB
칸쯤	칸/NNG + 쯤/XSN
달라	달라/NNB
여대	여대/NNG
캐럿	캐럿/NNG
커트	커트/NNG
여동	여/XSN + 동/NNB
여두	여/XSN + 두/NNB
켤레	켤레/NNB
코스	코스/NNG
쿼터	쿼터/NNG
큐핏	큐핏/NNB
수년	수년/NNG
백개	백/NR + 개/NNB
킬로	킬로/NNB
여리	여/XSN + 리/NNB
달러	달러/NNB
백종	백/NR + 종/NNG
부자	부자/NNG
백건	백/NR + 건/NNB
백골	백/NR + 골/NNG
등신	등신/NNG
여만	여/XSN + 만/NR
수능	수능/NNG
백곳	백/NR + 곳/NNG
수만	수/NNB + 만/NNB
백관	백/NR + 관/NNB
백권	백/NR + 권/NNB
타석	타석/NNG
부작	부/NNB + 작/NNG
타수	타수/NNG
마력	마력/NNB
부장	부장/NNG
타스	타스/NNB
수석	수석/NNG
타자	타자/NNG
타점	타점/NNG
타째	타/NNG + 째/XSN
타차	타/NNG + 차/NNG
백주	백/NR + 주/NNG
륙세	륙/NR + 세/NNB
수씩	수/NNB + 씩/XSN
택시	택시/NNG
수업	수업/NNG
백기	백/NR + 기/NNB
토막	토막/NNG
톤급	톤/NNB + 급/NNG
톤당	톤/NNB + 당/XSN
톤씩	톤/NNB + 씩/XSN
수준	수준/NNG
통씩	통/NNB + 씩/XSN
통장	통장/NNG
통화	통화/NNG
여명	여/XSN + 명/NNB
투신	투신/NNG
수천	수천/NR
트랙	트랙/NNG
숙부	숙부/NNG
특보	특보/NNG
특전	특전/NNG
특품	특품/NNG
팀씩	팀/NNG + 씩/XSN
팀장	팀장/NNG
여발	여/XSN + 발/NNB
개당	개/NNB + 당/XSN
파전	파/NNG + 전/NNG
여번	여/XSN + 번/NNB
여벌	여/XSN + 벌/NNB
만대	만/NR + 대/NNB
여부	여/XSN + 부/NNB
패씩	패/NNB + 씩/XSN
여분	여/XSN + 분/NNB
부제	부제/NNG
개대	개/NNB + 대/NNG
백년	백/NR + 년/NNB
백석	백/NR + 석/NNB
순서	순서/NNG
순위	순위/NNG
퍼트	퍼트/NNG
페니	페니/NNG
페소	페소/NNG
여사	여사/NNG
여석	여/XSN + 석/NNB
여섯	여섯/NR
펜스	펜스/NNB
백단	백/NR + 단/NNB
편꼴	편/NNB + 꼴/XSN
편당	편/NNB + 당/XSN
편본	편/NNG + 본/NNG
편분	편/NNB + 분/XSN
편성	편성/NNG
편씩	편/NNB + 씩/XSN
편쯤	편/NNB + 쯤/XSN
평당	평/NNB + 당/XSN
평대	평/NNB + 대/XSN
여수	여/XSN + 수/NNB
평방	평방/NNG
經濟	經濟/SH
여억	여/XSN + 억/NR
평생	평생/NNG
부쪽	부/NNB + 쪽/NNB
부쯤	부/NNB + 쯤/XSN
평쯤	평/NNB + 쯤/XSN
만호	만/NR + 호/NNB
평형	평/NNB + 형/XSN
년제	년/NNB + 제/XSN
백대	백/NR + 대/NNB
숟갈	숟갈/NNG
여원	여/XSN + 원/NNB
폐수	폐수/NNG
포기	포기/NNG
여일	여/XSN + 일/NNB
포당	포/NNG + 당/XSN
포대	포대/NNG
포병	포병/NNG
백대	백/NR + 대/NNG
폭반	폭/NNB + 반/NNG
폭반	폭/NNG + 반/NNG
쉰살	쉰/NR + 살/NNB
폭씩	폭/NNB + 씩/XSN
여자	여자/NNG
폭포	폭포/NNG
표차	표/NNG + 차/NNG
품계	품계/NNG
품관	품관/NNG
품목	품목/NNG
품종	품종/NNG
대별	대별/NNG
풍상	풍상/NNG
프랑	프랑/NNB
등실	등/NNB + 실/NNG
여장	여/XSN + 장/NNB
백대	백/NR + 대/XSN
여점	여/XSN + 점/NNB
프로	프로/NNB
여종	여/XSN + 종/NNG
백도	백/NR + 도/NNB
여집	여/XSN + 집/NNG
백돌	백/NR + 돌/NNG
백리	백/NR + 리/NNB
여쪽	여/XSN + 쪽/NNG
피트	피트/NNB
픽셀	픽셀/NNG
핀트	핀트/NNG
필씩	필/NNB + 씩/XSN
필지	필지/NNB
하나	하나/NR
등품	등품/NNG
하루	하루/NNG
학계	학/NNG + 계/XSN
학과	학과/NNG
학군	학군/NNG
학급	학급/NNG
년력	년/NNB + 력/NNG
여채	여/XSN + 채/NNB
학기	학기/NNG
여척	여/XSN + 척/NNB
여초	여/XSN + 초/NNB
부처	부처/NNG
여칸	여/XSN + 칸/NNG
년만	년/NNB + 만/NNB
여톤	여/XSN + 톤/NNB
학년	학년/NNG
스텝	스텝/NNG
여통	여/XSN + 통/NNB
백만	백만/NR
결당	결/NNB + 당/XSN
여편	여/XSN + 편/NNB
여평	여/XSN + 평/NNB
여표	여/XSN + 표/NNG
여호	여/XSN + 호/NNB
